date,vcb_sell
11-10-2022,24070.0
12-10-2022,24080.0
13-10-2022,24200.0
14-10-2022,24230.0
15-10-2022,24230.0
16-10-2022,24230.0
17-10-2022,24440.0
18-10-2022,24550.0
19-10-2022,24630.0
20-10-2022,24670.0
21-10-2022,24870.0
22-10-2022,24870.0
23-10-2022,24870.0
24-10-2022,24885.0
25-10-2022,24888.0
26-10-2022,24882.0
27-10-2022,24877.0
28-10-2022,24877.0
29-10-2022,24877.0
30-10-2022,24877.0
31-10-2022,24879.0
01-11-2022,24881.0
02-11-2022,24872.0
03-11-2022,24871.0
04-11-2022,24877.0
05-11-2022,24877.0
06-11-2022,24877.0
07-11-2022,24874.0
08-11-2022,24872.0
09-11-2022,24872.0
10-11-2022,24870.0
11-11-2022,24860.0
12-11-2022,24860.0
13-11-2022,24860.0
14-11-2022,24855.0
15-11-2022,24860.0
16-11-2022,24860.0
17-11-2022,24860.0
18-11-2022,24858.0
19-11-2022,24858.0
20-11-2022,24858.0
21-11-2022,24857.0
22-11-2022,24857.0
23-11-2022,24855.0
24-11-2022,24854.0
25-11-2022,24840.0
26-11-2022,24840.0
27-11-2022,24840.0
28-11-2022,24840.0
29-11-2022,24850.0
30-11-2022,24800.0
01-12-2022,24640.0
02-12-2022,24240.0
03-12-2022,24240.0
04-12-2022,24240.0
05-12-2022,24070.0
06-12-2022,24180.0
07-12-2022,24020.0
08-12-2022,23880.0
09-12-2022,23700.0
10-12-2022,23700.0
11-12-2022,23700.0
12-12-2022,23840.0
13-12-2022,23750.0
14-12-2022,23650.0
15-12-2022,23630.0
16-12-2022,23720.0
17-12-2022,23720.0
18-12-2022,23720.0
19-12-2022,23820.0
20-12-2022,23880.0
21-12-2022,23860.0
22-12-2022,23820.0
23-12-2022,23750.0
24-12-2022,23750.0
25-12-2022,23750.0
26-12-2022,23800.0
27-12-2022,23750.0
28-12-2022,23750.0
29-12-2022,23780.0
30-12-2022,23730.0
31-12-2022,23730.0
01-01-2023,23730.0
02-01-2023,23730.0
03-01-2023,23690.0
04-01-2023,23670.0
05-01-2023,23660.0
06-01-2023,23630.0
07-01-2023,23630.0
08-01-2023,23630.0
09-01-2023,23620.0
10-01-2023,23620.0
11-01-2023,23610.0
12-01-2023,23610.0
13-01-2023,23610.0
14-01-2023,23610.0
15-01-2023,23610.0
16-01-2023,23610.0
17-01-2023,23600.0
18-01-2023,23600.0
19-01-2023,23620.0
20-01-2023,23620.0
21-01-2023,23620.0
22-01-2023,23620.0
23-01-2023,23620.0
24-01-2023,23620.0
25-01-2023,23620.0
26-01-2023,23620.0
27-01-2023,23630.0
28-01-2023,23630.0
29-01-2023,23630.0
30-01-2023,23620.0
31-01-2023,23620.0
01-02-2023,23620.0
02-02-2023,23620.0
03-02-2023,23620.0
04-02-2023,23620.0
05-02-2023,23620.0
06-02-2023,23640.0
07-02-2023,23790.0
08-02-2023,23770.0
09-02-2023,23730.0
10-02-2023,23745.0
11-02-2023,23745.0
12-02-2023,23745.0
13-02-2023,23770.0
14-02-2023,23770.0
15-02-2023,23790.0
16-02-2023,23840.0
17-02-2023,23980.0
18-02-2023,23980.0
19-02-2023,23980.0
20-02-2023,23900.0
21-02-2023,23880.0
22-02-2023,23950.0
23-02-2023,23990.0
24-02-2023,23970.0
25-02-2023,23970.0
26-02-2023,23970.0
27-02-2023,23990.0
28-02-2023,23940.0
01-03-2023,23920.0
02-03-2023,23875.0
03-03-2023,23890.0
04-03-2023,23890.0
05-03-2023,23890.0
06-03-2023,23870.0
07-03-2023,23830.0
08-03-2023,23880.0
09-03-2023,23875.0
10-03-2023,23840.0
11-03-2023,23840.0
12-03-2023,23840.0
13-03-2023,23740.0
14-03-2023,23740.0
15-03-2023,23750.0
16-03-2023,23750.0
17-03-2023,23750.0
18-03-2023,23750.0
19-03-2023,23750.0
20-03-2023,23750.0
21-03-2023,23750.0
22-03-2023,23690.0
23-03-2023,23670.0
24-03-2023,23680.0
25-03-2023,23680.0
26-03-2023,23680.0
27-03-2023,23680.0
28-03-2023,23660.0
29-03-2023,23650.0
30-03-2023,23640.0
31-03-2023,23630.0
01-04-2023,23630.0
02-04-2023,23630.0
03-04-2023,23650.0
04-04-2023,23635.0
