title,report_date,detail_url,bog_pvoil
Báo cáo quỹ bình ổn giá xăng dầu ngày 10/04/2025,10/04/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-10042025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 03/04/2025,03/04/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-03042025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 27/03/2025,27/03/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-27032025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 20/03/2025,20/03/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-20032025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 13/03/2025,13/03/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-13032025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 06/03/2025,06/03/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-06032025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 27/02/2025,27/02/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-27022025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 20/02/2025,20/02/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-20022025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 13/02/2025,13/02/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-13022025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 06/02/2025,06/02/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-06022025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 01/02/2025,01/02/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-01022025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 23/01/2025,23/01/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-23012025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 16/01/2025,16/01/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-16012025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 09/01/2025,09/01/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-09012025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 02/01/2025,02/01/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-02012025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 26/12/2024,26/12/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-26122024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 19/12/2024,19/12/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-19122024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 12/12/2024,12/12/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-12122024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 05/12/2024,05/12/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-05122024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 28/11/2024,28/11/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-28112024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 21/11/2024,21/11/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-21112024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 31/10/2024,31/10/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-31102024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 24/10/2024,24/10/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-24102024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 17/10/2024,17/10/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-17102024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 10/10/2024,10/10/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-10102024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 03/10/2024,03/10/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-03102024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 19/9/2024,19/9/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-1992024,"-138,42 tỷ đồng"
