crawl_date,detail_url,title,report_date,post_date,is_parsed
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-26122024,Báo cáo quỹ bình ổn giá xăng dầu ngày 26/12/2024,26/12/2024,26.12.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-19122024,Báo cáo quỹ bình ổn giá xăng dầu ngày 19/12/2024,19/12/2024,19.12.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-12122024,Báo cáo quỹ bình ổn giá xăng dầu ngày 12/12/2024,12/12/2024,12.12.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-05122024,Báo cáo quỹ bình ổn giá xăng dầu ngày 05/12/2024,05/12/2024,05.12.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-28112024,Báo cáo quỹ bình ổn giá xăng dầu ngày 28/11/2024,28/11/2024,28.11.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-21112024,Báo cáo quỹ bình ổn giá xăng dầu ngày 21/11/2024,21/11/2024,21.11.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-31102024,Báo cáo quỹ bình ổn giá xăng dầu ngày 31/10/2024,31/10/2024,31.10.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-24102024,Báo cáo quỹ bình ổn giá xăng dầu ngày 24/10/2024,24/10/2024,24.10.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-17102024,Báo cáo quỹ bình ổn giá xăng dầu ngày 17/10/2024,17/10/2024,17.10.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-10102024,Báo cáo quỹ bình ổn giá xăng dầu ngày 10/10/2024,10/10/2024,10.10.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-03102024,Báo cáo quỹ bình ổn giá xăng dầu ngày 03/10/2024,03/10/2024,03.10.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-1992024,Báo cáo quỹ bình ổn giá xăng dầu ngày 19/9/2024,19/9/2024,19.09.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-1292024,Báo cáo quỹ bình ổn giá xăng dầu ngày 12/9/2024,12/9/2024,11.09.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-0592024,Báo cáo quỹ bình ổn giá xăng dầu ngày 05/9/2024,05/9/2024,05.09.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-15082024,Báo cáo quỹ bình ổn giá xăng dầu ngày 15/08/2024,15/08/2024,15.08.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-08082024,Báo cáo quỹ bình ổn giá xăng dầu ngày 08/08/2024,08/08/2024,08.08.2024,1
